Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Quantity~Integer~Quantity~100|Field=Footprint~String~Footprint~100|Field=Designator~String~Designator~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~10|ReportField=ProjectFileName~Aeroval.PrjPcb|ReportField=ProjectFullPath~C:\Users\valentin.py\Documents\Aeroval\Altium\Aeroval\Aeroval.PrjPcb|ReportField=Title~Bill of Materials For Project [Aeroval.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~200|ReportField=ReportTime~00:12:21|ReportField=ReportDate~11.06.2015|ReportField=ReportDateTime~11.06.2015 00:12:21|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~valentin.py@gmail.com|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Valentin Py|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=CurrentDate~10.06.2015|ReportField=CurrentTime~23:52:07|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\valentin.py\Documents\Aeroval\Altium\Aeroval\Interfaces.SchDoc|ReportField=DocumentName~Interfaces.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Valentin Py|ReportField=Engineer~Valentin Py|ReportField=ImagePath~|ReportField=ModifiedDate~10.06.2015|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.24|XCorrection=1.00|YCorrection=1.00|PrintKind=0|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-4|MediaType=1|DitherType=10|PaperKind=A4|PrintScaleMode=1|ReportField=ProjectName~Aeroval.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~3|ReportField=SheetTotal~5|ReportField=Time~|ReportField=Title~Interfaces|ReportField=DataSourceFileName~Aeroval.PrjPcb|ReportField=DataSourceFullPath~C:\Users\valentin.py\Documents\Aeroval\Altium\Aeroval\Aeroval.PrjPcb|ReportField=PCBDataSourceFileName~Aeroval-PCB1.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\valentin.py\Documents\Aeroval\Altium\Aeroval\Aeroval-PCB1.PcbDoc
100nF|CAP CER 0.1UF 25V 10% X7R 0805|30|080503|C1, C5, C14, C15, C19, C20, C29, C30, C31, C32, C33, C35, C39, C41, C42, C52, C53, C57, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C74, C75|Samsung Electro-Mechanics America, Inc|CL21B104KACNNNC|Digi-Key|1276-1099-1-ND|6,12|0,0204|100nF
1uF|CAP CER 1UF 25V 10% X7R 0805|10|080503|C2, C3, C4, C6, C12, C17, C23, C24, C27, C62|Kemet|C0805C104K3RACTU|Digi-Key|399-1168-1-ND|2,3|0,023|1uF
10uF|CAP CER 10UF 16V 20% X6S 0805|2|080501|C21, C22|TDK Corporation|C2012X6S1C106M125AC|Digi-Key|445-7612-1-ND|7,14|0,357|10uF
10nF|CAP CER 10nF 50V 10% X7R 0805|2|080503|C25, C38|Kemet|C0805C103K5RACTU|Digi-Key|399-1158-1-ND|0,68|0,034|10nF
220uF|CAP TANT 220UF 4V 20% 1411|1|1411|C26|Kemet|T491B227M004AT|Digi-Key|399-4625-6-ND|9,56|0,956|220uF
22uF|CAP TANT 22UF 25V 10% 2413|1|2413|C28|Kemet|T491C226K025AT|Digi-Key|399-3746-1-ND|8,88|0,888|22uF
4.7uF|CAP TANT 4.7uF 10V 10% 1206|2|120605|C34, C55|Kemet|T491A475K010AT|Digi-Key|399-3696-1-ND|6|0,30|4.7uF
220nF|CAP CER 0.22uF 50V X7R 10% 0805|2|080503|C36, C59|Kemet|C0805C224K5RACTU|Digi-Key|399-3491-1-ND|1,9|0,095|220nF
2.2nF|CAP CER 2.2nF 50V|1|080503|C40|Kemet|C0805C222F5GACTU|Digi-Key|399-11167-2-ND|||2.2nF
10uF|CAP CER 10UF 16V 20% X6S 0805|1|080503|C73|TDK Corporation|C2012X6S1C106M125AC|Digi-Key|445-7612-1-ND|3,57|0,357|10uF
18pF|CAP CER 18PF 50V 5% NP0 0603|2|060301|C76, C77|Kemet|C0603C180J5GACTU|Digi-Key|399-1052-6-ND|0,68|0,034|18pF
SP0504BAHTG|TVS AVAL DIODE ARRAY 4CH, 5.5V|1|SOT23501|D1|Littelfuse Inc|SP0504BAHTG|Digi-Key|F3157CT-ND|8,99|0,899|
LED|LED 2X1.2MM 570NM GN WTR CLR SMD|9|LED_0805 - GREEN|D2, D3, D4, D5, D6, D7, D8, D9, D10|Kingbright|APT2012CGCK|Digi-Key|754-1127-1-ND|10,692|0,1188|
TVS DIODE 3.3V|Zener 3V3|10|SOD-523|D11, D13, D14, D15, D16, D17, D18, D19, D20, D21|Comchip Technology|CPDH3V3UP|Digi-Key|641-1395-1-ND|37,08|0,3708|
B230A-13-F|B230A-13-F|1|SMA|D12|Diodes Incorporated|B230A-13-F|Digi-Key|B230A-FDICT-ND|3,8|0,38|500mV
EM7180SFP||1||EM1|||||||
